2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.110221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.110221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.116221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.116221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.122223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.122223", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.128221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.128221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.133220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.133220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.158223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.158223", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.166220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.166220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.172222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.172222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.179220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.180220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:52 - DEBUG - {"module": "vision.yolo_infer", "timestamp": "2026-02-06T15:16:52.180220", "message": "추론 결과 저장", "data": {"num_detections": 1, "inference_count": 1}}
2026-02-06 15:16:52 - DEBUG - {"module": "vision.yolo_infer", "timestamp": "2026-02-06T15:16:52.181223", "message": "추론 시작", "data": {"frame_seq": 20}}
2026-02-06 15:16:52 - DEBUG - {"module": "vision.yolo_infer", "timestamp": "2026-02-06T15:16:52.182221", "message": "추론 시작", "data": {"conf": 0.5, "imgsz": 640}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.185222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.185222", "message": "탐지 결과 획득", "data": {"count": 1}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.190221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.190221", "message": "탐지 결과 획득", "data": {"count": 1}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.195228", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:52 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:52.195228", "message": "탐지 결과 획득", "data": {"count": 1}}
